Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    56540494 time date stamp Tue Nov 24 06:32:52 2015
        0.00 version
        1502 ordinal base
        1201 number of functions
         933 number of names

    ordinal hint RVA      name

       1646   8A 00066490 DdeGetQualityOfService
       1647   8B 0006A460 DdeImpersonateClient
       1648   8C 0006A4C0 DdeInitializeA
       1649   8D 0006A4F0 DdeInitializeW
       1650   8E 000750D0 DdeKeepStringHandle
       1651   8F 0006A520 DdeNameService
       1652   90 000889E0 DdePostAdvise
       1653   91 00088C30 DdeQueryConvInfo
       1654   92 000664A0 DdeQueryNextServer
       1655   93 00075160 DdeQueryStringA
       1656   94 00075190 DdeQueryStringW
       1657   95 000665B0 DdeReconnect
       1658   96 00066700 DdeSetQualityOfService
       1659   97 00088DD0 DdeSetUserHandle
       1660   98 00074660 DdeUnaccessData
       1661   99 0006A750 DdeUninitialize
       1662   9A          DefDlgProcA (forwarded to NTDLL.NtdllDialogWndProc_A)
       1663   9B          DefDlgProcW (forwarded to NTDLL.NtdllDialogWndProc_W)
       1664   9C 000231F0 DefFrameProcA
       1665   9D 0007CFE0 DefFrameProcW
       1666   9E 00020870 DefMDIChildProcA
       1667   9F 0007D010 DefMDIChildProcW
       1668   A0 0005F740 DefRawInputProc
       1669   A1          DefWindowProcA (forwarded to NTDLL.NtdllDefWindowProc_A)
       1670   A2          DefWindowProcW (forwarded to NTDLL.NtdllDefWindowProc_W)
       1671   A3 00031EE0 DeferWindowPos
       1672   A4 0005C2F0 DeferWindowPosAndBand
       1673   A5 000394B0 DeleteMenu
       1674   A6 00034A60 DeregisterShellHookWindow
       1675   A7 0002E2C0 DestroyAcceleratorTable
       1676   A8 00034350 DestroyCaret
       1677   A9 0001F890 DestroyCursor
       1678   AA 0003BEF0 DestroyDCompositionHwndTarget
       1679   AB 0001F890 DestroyIcon
       1680   AC 000396C0 DestroyMenu
       1681   AD 00084030 DestroyReasons
       1682   AE 000392C0 DestroyWindow
       1683   AF 00060670 DialogBoxIndirectParamA
       1684   B0 000296C0 DialogBoxIndirectParamAorW
       1685   B1 00029690 DialogBoxIndirectParamW
       1686   B2 000606A0 DialogBoxParamA
       1687   B3 00060760 DialogBoxParamW
       1688   B4 0005C340 DisableProcessWindowsGhosting
       1689   B5 00036F20 DispatchMessageA
       1690   B6 000162F0 DispatchMessageW
       1691   B7 0001FEE0 DisplayConfigGetDeviceInfo
       1692   B8 0008AD20 DisplayConfigSetDeviceInfo
       1693   B9 00069280 DisplayExitWindowsWarnings
       1694   BA 00079600 DlgDirListA
       1695   BB 000644A0 DlgDirListComboBoxA
       1696   BC 00064540 DlgDirListComboBoxW
       1697   BD 000796A0 DlgDirListW
       1698   BE 00064580 DlgDirSelectComboBoxExA
       1699   BF 000645E0 DlgDirSelectComboBoxExW
       1700   C0 000796E0 DlgDirSelectExA
       1701   C1 00079750 DlgDirSelectExW
       1702   C2 0003BF70 DoSoundConnect
       1703   C3 0003BF80 DoSoundDisconnect
       1704   C4 0003BF90 DragDetect
       1705   C5 0003BFA0 DragObject
       1706   C6 0003BFB0 DrawAnimatedRects
       1707   C7 00081D20 DrawCaption
       1708   C8 00089AF0 DrawCaptionTempA
       1709   C9 00068F20 DrawCaptionTempW
       1710   CA 00022CC0 DrawEdge
       1711   CB 00031F10 DrawFocusRect
       1712   CC 0008C050 DrawFrame
       1713   CD 00033620 DrawFrameControl
       1714   CE 0002F6F0 DrawIcon
       1715   CF 0002F720 DrawIconEx
       1716   D0 00033EF0 DrawMenuBar
       1717   D1 0007DD80 DrawMenuBarTemp
       1718   D2 0007E6E0 DrawStateA
       1719   D3 00024170 DrawStateW
       1720   D4 00023600 DrawTextA
       1721   D5 00023660 DrawTextExA
       1722   D6 00024400 DrawTextExW
       1723   D7 00024430 DrawTextW
       1724   D8 000846F0 DwmGetDxSharedSurface
       1725   D9 0003BFF0 DwmGetRemoteSessionOcclusionEvent
