Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdi32.dll

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    568B167A time date stamp Tue Jan  5 01:03:54 2016
        0.00 version
        1000 ordinal base
        1001 number of functions
         865 number of names

    ordinal hint RVA      name

       1135   7A 000B86B0 D3DKMTDestroyKeyedMutex
       1136   7B 000B86C0 D3DKMTDestroyOutputDupl
       1137   7C 000B86D0 D3DKMTDestroyOverlay
       1138   7D 000B86E0 D3DKMTDestroyPagingQueue
       1139   7E 000B86F0 D3DKMTDestroySynchronizationObject
       1141   7F 000B8700 D3DKMTEnumAdapters
       1140   80 000B8710 D3DKMTEnumAdapters2
       1142   81 000B8720 D3DKMTEscape
       1143   82 000B8730 D3DKMTEvict
       1144   83 000B8740 D3DKMTFlipOverlay
       1145   84 000B8750 D3DKMTFlushHeapTransitions
       1146   85 000B8760 D3DKMTFreeGpuVirtualAddress
       1147   86 000B8770 D3DKMTGetCachedHybridQueryValue
       1148   87 000B8780 D3DKMTGetContextInProcessSchedulingPriority
       1149   88 000B8790 D3DKMTGetContextSchedulingPriority
       1150   89 000B87A0 D3DKMTGetDWMVerticalBlankEvent
       1151   8A 000B87B0 D3DKMTGetDeviceState
       1152   8B 000B87C0 D3DKMTGetDisplayModeList
       1153   8C 000B87D0 D3DKMTGetMultisampleMethodList
       1154   8D 000B87E0 D3DKMTGetOverlayState
       1155   8E 000B87F0 D3DKMTGetPresentHistory
       1156   8F 000B8800 D3DKMTGetPresentQueueEvent
       1157   90 000B8810 D3DKMTGetProcessSchedulingPriorityClass
       1158   91 000B8820 D3DKMTGetResourcePresentPrivateDriverData
       1159   92 000B8830 D3DKMTGetRuntimeData
       1160   93 000B8840 D3DKMTGetScanLine
       1161   94 000B8850 D3DKMTGetSetSwapChainMetadata
       1162   95 000B8860 D3DKMTGetSharedPrimaryHandle
       1163   96 000B8870 D3DKMTGetSharedResourceAdapterLuid
       1164   97 000B8880 D3DKMTInvalidateActiveVidPn
       1165   98 000B8890 D3DKMTInvalidateCache
       1167   99 000B88A0 D3DKMTLock
       1166   9A 000B88B0 D3DKMTLock2
       1168   9B 000B88C0 D3DKMTMakeResident
       1169   9C 000B88D0 D3DKMTMapGpuVirtualAddress
       1170   9D 000B88E0 D3DKMTMarkDeviceAsError
       1171   9E 000B88F0 D3DKMTNetDispGetNextChunkInfo
       1172   9F 000B8900 D3DKMTNetDispQueryMiracastDisplayDeviceStatus
       1173   A0 000B8910 D3DKMTNetDispQueryMiracastDisplayDeviceSupport
       1175   A1 000D8C00 D3DKMTNetDispStartMiracastDisplayDevice
       1174   A2 000D8B50 D3DKMTNetDispStartMiracastDisplayDevice2
       1176   A3 000B8920 D3DKMTNetDispStartMiracastDisplayDeviceEx
       1177   A4 000B8930 D3DKMTNetDispStopMiracastDisplayDevice
       1178   A5 000B8940 D3DKMTNetDispStopSessions
       1179   A6 000B8950 D3DKMTOfferAllocations
       1180   A7 000B8960 D3DKMTOpenAdapterFromDeviceName
       1181   A8 000D8C20 D3DKMTOpenAdapterFromGdiDisplayName
       1182   A9 000B8970 D3DKMTOpenAdapterFromHdc
       1183   AA 000B8980 D3DKMTOpenAdapterFromLuid
       1185   AB 000B8990 D3DKMTOpenKeyedMutex
       1184   AC 000B89A0 D3DKMTOpenKeyedMutex2
       1186   AD 000B89B0 D3DKMTOpenNtHandleFromName
       1188   AE 000D8C90 D3DKMTOpenResource
       1187   AF 000B89C0 D3DKMTOpenResource2
       1189   B0 000B89D0 D3DKMTOpenResourceFromNtHandle
       1190   B1 000B89E0 D3DKMTOpenSwapChain
       1192   B2 000B89F0 D3DKMTOpenSyncObjectFromNtHandle
       1191   B3 000B8A00 D3DKMTOpenSyncObjectFromNtHandle2
       1193   B4 000B8A10 D3DKMTOpenSyncObjectNtHandleFromName
       1194   B5 000B8A20 D3DKMTOpenSynchronizationObject
       1195   B6 000B8A30 D3DKMTOutputDuplGetFrameInfo
       1196   B7 000B8A40 D3DKMTOutputDuplGetMetaData
       1197   B8 000B8A50 D3DKMTOutputDuplGetPointerShapeData
       1198   B9 000B8A60 D3DKMTOutputDuplPresent
       1199   BA 000B8A70 D3DKMTOutputDuplReleaseFrame
       1200   BB 000B8A80 D3DKMTPinDirectFlipResources
       1201   BC 000B8A90 D3DKMTPollDisplayChildren
       1202   BD 000B8AA0 D3DKMTPresent
       1204   BE 000B8AB0 D3DKMTPresentMultiPlaneOverlay
       1203   BF 000B8AC0 D3DKMTPresentMultiPlaneOverlay2
       1205   C0 000B8AD0 D3DKMTQueryAdapterInfo
       1206   C1 000B8AE0 D3DKMTQueryAllocationResidency
       1207   C2 000B8AF0 D3DKMTQueryClockCalibration
       1208   C3 000B8B00 D3DKMTQueryRemoteVidPnSourceFromGdiDisplayName
       1209   C4 000B8B10 D3DKMTQueryResourceInfo
       1210   C5 000B8B20 D3DKMTQueryResourceInfoFromNtHandle
       1211   C6 000B8B30 D3DKMTQueryStatistics
       1212   C7 000B8B40 D3DKMTQueryVidPnExclusiveOwnership
       1213   C8 000B8B50 D3DKMTQueryVideoMemoryInfo
       1215   C9 000B8B60 D3DKMTReclaimAllocations
       1214   CA 000B8B70 D3DKMTReclaimAllocations2
       1216   CB 000834F0 D3DKMTRegisterTrimNotification
       1218   CC 000B8B80 D3DKMTReleaseKeyedMutex
       1217   CD 000B8B90 D3DKMTReleaseKeyedMutex2
       1219   CE 000B8BA0 D3DKMTReleaseProcessVidPnSourceOwners
       1220   CF 000B8BB0 D3DKMTReleaseSwapChain
       1221   D0 000B8BC0 D3DKMTRender
       1222   D1 000B8BD0 D3DKMTReserveGpuVirtualAddress
       1223   D2 000B8BE0 D3DKMTSetAllocationPriority
       1224   D3 000B8BF0 D3DKMTSetContextInProcessSchedulingPriority
       1225   D4 000B8C00 D3DKMTSetContextSchedulingPriority
       1226   D5 000B8C10 D3DKMTSetDisplayMode
       1227   D6 000B8C20 D3DKMTSetDisplayPrivateDriverFormat
       1228   D7 000B8C30 D3DKMTSetDodIndirectSwapchain
       1229   D8 000B8C40 D3DKMTSetGammaRamp
       1230   D9 000B8C50 D3DKMTSetHwProtectionTeardownRecovery
       1231   DA 000B8C60 D3DKMTSetProcessSchedulingPriorityClass
       1232   DB 000B8C70 D3DKMTSetQueuedLimit
       1233   DC 000B8C80 D3DKMTSetStablePowerState
       1234   DD 000B8C90 D3DKMTSetStereoEnabled
       1235   DE 000B8CA0 D3DKMTSetSyncRefreshCountWaitTarget
       1236   DF 000B8CB0 D3DKMTSetVidPnSourceHwProtection
       1238   E0 000B8CC0 D3DKMTSetVidPnSourceOwner
       1237   E1 000B8CD0 D3DKMTSetVidPnSourceOwner1
       1239   E2 000B8CE0 D3DKMTShareObjects
       1240   E3 000B8CF0 D3DKMTSharedPrimaryLockNotification
       1241   E4 000B8D00 D3DKMTSharedPrimaryUnLockNotification
       1243   E5 000D8D40 D3DKMTSignalSynchronizationObject
       1242   E6 000B8D10 D3DKMTSignalSynchronizationObject2
       1244   E7 000B8D20 D3DKMTSignalSynchronizationObjectFromCpu
       1246   E8 000B8D30 D3DKMTSignalSynchronizationObjectFromGpu
       1245   E9 000B8D40 D3DKMTSignalSynchronizationObjectFromGpu2
       1247   EA 000B8D50 D3DKMTSubmitCommand
       1249   EB 000B8D60 D3DKMTUnlock
       1248   EC 000B8D70 D3DKMTUnlock2
       1250   ED 000B8D80 D3DKMTUnpinDirectFlipResources
       1251   EE 000B6720 D3DKMTUnregisterTrimNotification
       1252   EF 000B8D90 D3DKMTUpdateGpuVirtualAddress
       1253   F0 000B8DA0 D3DKMTUpdateOverlay
       1254   F1 000B8DB0 D3DKMTWaitForIdle
       1256   F2 000D8DF0 D3DKMTWaitForSynchronizationObject
       1255   F3 000B8DC0 D3DKMTWaitForSynchronizationObject2
       1257   F4 000B8DD0 D3DKMTWaitForSynchronizationObjectFromCpu
       1258   F5 000B8DE0 D3DKMTWaitForSynchronizationObjectFromGpu
       1260   F6 000B8DF0 D3DKMTWaitForVerticalBlankEvent
       1259   F7 000B8E00 D3DKMTWaitForVerticalBlankEvent2
       1261   F8 000B83A0 DDCCIGetCapabilitiesString
       1262   F9 000B83B0 DDCCIGetCapabilitiesStringLength
       1263   FA 000B83C0 DDCCIGetTimingReport
       1264   FB 000B83D0 DDCCIGetVCPFeature
       1265   FC 000B83E0 DDCCISaveCurrentSettings
       1266   FD 000B83F0 DDCCISetVCPFeature
       1267   FE 0009D650 DPtoLP
       1268   FF 000B8480 DdCreateFullscreenSprite
       1269  100 000B8E30 DdDestroyFullscreenSprite
       1270  101 000B91C0 DdEntry0
       1281  102 000B8360 DdEntry1
       1271  103 000B8430 DdEntry10
       1272  104 000B7290 DdEntry11
       1273  105 000B74E0 DdEntry12
       1274  106 000B8440 DdEntry13
       1275  107 000B8450 DdEntry14
       1276  108 000B8470 DdEntry15
       1277  109 000B74F0 DdEntry16
       1278  10A 000B8460 DdEntry17
       1279  10B 000B8490 DdEntry18
       1280  10C 000B76F0 DdEntry19
       1292  10D 000B8370 DdEntry2
       1282  10E 000B8E10 DdEntry20
       1283  10F 000B74D0 DdEntry21
       1284  110 000B8E40 DdEntry22
       1285  111 000B7510 DdEntry23
       1286  112 000B8E20 DdEntry24
       1287  113 000B8E50 DdEntry25
       1288  114 000B8E60 DdEntry26
       1289  115 000B8E70 DdEntry27
       1290  116 000B8E80 DdEntry28
       1291  117 000B8E90 DdEntry29
       1303  118 000B8380 DdEntry3
       1293  119 000B8EA0 DdEntry30
       1294  11A 000B8EB0 DdEntry31
       1295  11B 000B8ED0 DdEntry32
       1296  11C 000B8EE0 DdEntry33
       1297  11D 000B8EF0 DdEntry34
       1298  11E 000B8F00 DdEntry35
       1299  11F 000B8F20 DdEntry36
       1300  120 000B8F10 DdEntry37
       1301  121 000B8F30 DdEntry38
       1302  122 000B8F40 DdEntry39
       1314  123 000B8390 DdEntry4
       1304  124 000B7710 DdEntry40
       1305  125 000B8F60 DdEntry41
       1306  126 000B8F70 DdEntry42
       1307  127 000B8F90 DdEntry43
       1308  128 000B8FA0 DdEntry44
       1309  129 000B8FB0 DdEntry45
       1310  12A 000B7560 DdEntry46
       1311  12B 000B8FC0 DdEntry47
       1312  12C 000B8FD0 DdEntry48
       1313  12D 000B8FE0 DdEntry49
       1322  12E 000B7110 DdEntry5
       1315  12F 000B76E0 DdEntry50
       1316  130 000B8FF0 DdEntry51
       1317  131 000B9000 DdEntry52
       1318  132 000B9010 DdEntry53
       1319  133 000B7720 DdEntry54
       1320  134 000B9020 DdEntry55
       1321  135 000B9030 DdEntry56
       1323  136 000B8EC0 DdEntry6
       1324  137 000B8400 DdEntry7
       1325  138 000B8410 DdEntry8
       1326  139 000B8420 DdEntry9
       1327  13A 000B8F50 DdNotifyFullscreenSpriteUpdate
       1328  13B 000B8F80 DdQueryVisRgnUniqueness
       1329  13C 000DDD50 DeleteColorSpace
       1330  13D 00080D00 DeleteDC
       1331  13E 000A5BC0 DeleteEnhMetaFile
       1332  13F 000A8A60 DeleteMetaFile
       1333  140 00080810 DeleteObject
       1334  141 000E7B30 DescribePixelFormat
       1335  142 000B9060 DestroyOPMProtectedOutput
       1336  143 000B9070 DestroyPhysicalMonitorInternal
       1337  144 000E6570 DeviceCapabilitiesExA
       1338  145 000E6570 DeviceCapabilitiesExW
       1339  146 000E6660 DrawEscape
       1340  147 000E66D0 Ellipse
       1341  148 000B91E0 EnableEUDC
       1342  149 000A9F50 EndDoc
       1343  14A 000E67A0 EndFormPage
       1344  14B 000B9200 EndGdiRendering
       1345  14C 000B3460 EndPage
       1346  14D 000B2C00 EndPath
       1347  14E 000EC610 EngAcquireSemaphore
       1348  14F 000B9220 EngAlphaBlend
       1349  150 000B9230 EngAssociateSurface
       1350  151 000B9240 EngBitBlt
       1351  152 000B9250 EngCheckAbort
       1352  153 000EC620 EngComputeGlyphSet
       1353  154 000B9270 EngCopyBits
       1354  155 000B9280 EngCreateBitmap
       1355  156 000B9290 EngCreateClip
       1356  157 000B92A0 EngCreateDeviceBitmap
       1357  158 000B92B0 EngCreateDeviceSurface
       1358  159 000B92C0 EngCreatePalette
       1359  15A 000EC680 EngCreateSemaphore
       1360  15B 000B92D0 EngDeleteClip
       1361  15C 000B92E0 EngDeletePalette
       1362  15D 000B92F0 EngDeletePath
       1363  15E 000EC6B0 EngDeleteSemaphore
       1364  15F 000B9300 EngDeleteSurface
       1365  160 000B9310 EngEraseSurface
       1366  161 000B9320 EngFillPath
       1367  162 000EC6F0 EngFindResource
       1368  163 000EC750 EngFreeModule
       1369  164 000EC760 EngGetCurrentCodePage
       1370  165 000EC790 EngGetDriverName
       1371  166 000EC7C0 EngGetPrinterDataFileName
       1372  167 000B9330 EngGradientFill
       1373  168 000B9340 EngLineTo
       1374  169 000EC7F0 EngLoadModule
       1375  16A 000B9350 EngLockSurface
       1376  16B 000B9360 EngMarkBandingSurface
       1377  16C 000EC810 EngMultiByteToUnicodeN
       1378  16D 000EC820 EngMultiByteToWideChar
       1379  16E 000B9370 EngPaint
       1380  16F 000B9380 EngPlgBlt
       1381  170 000BB9F0 EngQueryEMFInfo
       1382  171 000EC850 EngQueryLocalTime
       1383  172 000EC8D0 EngReleaseSemaphore
       1384  173 000B9390 EngStretchBlt
       1385  174 000B93A0 EngStretchBltROP
       1386  175 000B93B0 EngStrokeAndFillPath
       1387  176 000B93C0 EngStrokePath
       1388  177 000B93D0 EngTextOut
       1389  178 000B93E0 EngTransparentBlt
       1390  179 000EC8E0 EngUnicodeToMultiByteN
       1391  17A 000B93F0 EngUnlockSurface
       1392  17B 000EC8F0 EngWideCharToMultiByte
       1393  17C 000A4E70 EnumEnhMetaFile
       1394  17D 000AFAB0 EnumFontFamiliesA
       1395  17E 000AFB40 EnumFontFamiliesExA
       1396  17F 000AFC20 EnumFontFamiliesExW
       1397  180 000AFAE0 EnumFontFamiliesW
       1398  181 000DB840 EnumFontsA
       1399  182 000AFB10 EnumFontsW
       1400  183 000DDD60 EnumICMProfilesA
       1401  184 000DDDE0 EnumICMProfilesW
       1402  185 000B49A0 EnumMetaFile
       1403  186 000E5BD0 EnumObjects
       1404  187 000B5710 EqualRgn
       1405  188 000A4C00 Escape
       1406  189 000E8370 EudcLoadLinkW
       1407  18A 000E83D0 EudcUnloadLinkW
       1408  18B 000B66C0 ExcludeClipRect
       1409  18C 000B5010 ExtCreatePen
       1410  18D 000A2530 ExtCreateRegion
       1411  18E 000A28F0 ExtEscape
       1412  18F 000E67C0 ExtFloodFill
       1413  190 000B6160 ExtSelectClipRgn
       1414  191 000A80C0 ExtTextOutA
       1415  192 00096830 ExtTextOutW
       1416  193 000B9440 FONTOBJ_cGetAllGlyphHandles
       1417  194 000B9450 FONTOBJ_cGetGlyphs
       1418  195 000B9460 FONTOBJ_pQueryGlyphAttrs
       1419  196 000B9470 FONTOBJ_pfdg
       1420  197 000B9480 FONTOBJ_pifi
       1421  198 000B9490 FONTOBJ_pvTrueTypeFontFile
       1422  199 000B94A0 FONTOBJ_pxoGetXform
       1423  19A 000B94B0 FONTOBJ_vGetInfo
       1424  19B 000B37F0 FillPath
       1425  19C 000B56B0 FillRgn
       1426  19D 000D7D40 FixBrushOrgEx
       1427  19E 000E77E0 FlattenPath
       1428  19F 000E6910 FloodFill
       1429  1A0 000DB870 FontIsLinked
       1430  1A1 000E6940 FrameRgn
       1431  1A2 000DB880 GdiAddFontResourceW
       1432  1A3 000EF3D0 GdiAddGlsBounds
       1433  1A4 000EF400 GdiAddGlsRecord
       1434  1A5 000AEE70 GdiAlphaBlend
       1435  1A6 000F64D0 GdiArtificialDecrementDriver
       1436  1A7 000E3FB0 GdiCleanCacheDC
       1437  1A8 000836E0 GdiClearStockObjectCache
       1438  1A9 000A19D0 GdiComment
       1439  1AA 000E6A30 GdiConsoleTextOut
       1440  1AB 000B1740 GdiConvertAndCheckDC
       1441  1AC 000E3FF0 GdiConvertBitmap
       1442  1AD 000DDE60 GdiConvertBitmapV5
       1443  1AE 000E3FF0 GdiConvertBrush
       1444  1AF 000E3FF0 GdiConvertDC
       1445  1B0 000F1160 GdiConvertEnhMetaFile
       1446  1B1 000E3FF0 GdiConvertFont
       1447  1B2 000F11D0 GdiConvertMetaFilePict
       1448  1B3 000E3FF0 GdiConvertPalette
       1449  1B4 000E3FF0 GdiConvertRegion
       1450  1B5 000E5CD0 GdiConvertToDevmodeW
       1451  1B6 000F1250 GdiCreateLocalEnhMetaFile
       1452  1B7 000F1270 GdiCreateLocalMetaFilePict
       1453  1B8 000E40B0 GdiDeleteLocalDC
       1454  1B9 000E8CB0 GdiDeleteSpoolFileHandle
       1455  1BA 000E7BA0 GdiDescribePixelFormat
       1456  1BB 000824F0 GdiDllInitialize
       1457  1BC 000AF730 GdiDrawStream
       1458  1BD 000E8DD0 GdiEndDocEMF
       1459  1BE 000E8E40 GdiEndPageEMF
       1467  1BF 000DA510 GdiEntry1
       1460  1C0 000DA3F0 GdiEntry10
       1461  1C1 000DA420 GdiEntry11
       1462  1C2 000DA480 GdiEntry12
       1463  1C3 00083450 GdiEntry13
       1464  1C4 000DA4A0 GdiEntry14
       1465  1C5 000DA4E0 GdiEntry15
       1466  1C6 000BB850 GdiEntry16
       1468  1C7 000DA5A0 GdiEntry2
       1469  1C8 000DAAA0 GdiEntry3
       1470  1C9 000DAAF0 GdiEntry4
       1471  1CA 000DAB10 GdiEntry5
       1472  1CB 000DAB40 GdiEntry6
       1473  1CC 000DAB60 GdiEntry7
       1474  1CD 000DAB80 GdiEntry8
       1475  1CE 000DABA0 GdiEntry9
       1476  1CF 000A1080 GdiFixUpHandle
       1477  1D0 000B0DE0 GdiFlush
       1478  1D1 000B9500 GdiFullscreenControl
       1479  1D2 000E6A50 GdiGetBatchLimit
       1480  1D3 000830B0 GdiGetBitmapBitsSize
       1481  1D4 0009C930 GdiGetCharDimensions
       1482  1D5 000A87B0 GdiGetCodePage
       1483  1D6 000E8FD0 GdiGetDC
       1484  1D7 000E9020 GdiGetDevmodeForPage
       1485  1D8 000E3FF0 GdiGetLocalBrush
       1486  1D9 000E3FF0 GdiGetLocalDC
       1487  1DA 000E3FF0 GdiGetLocalFont
       1488  1DB 000E90A0 GdiGetPageCount
       1489  1DC 000E9120 GdiGetPageHandle
       1490  1DD 000E91F0 GdiGetSpoolFileHandle
       1491  1DE 000B97A0 GdiGetSpoolMessage
       1492  1DF 000B0AE0 GdiGradientFill
       1493  1E0 000B9880 GdiInitSpool
       1494  1E1 00082B10 GdiInitializeLanguagePack
       1495  1E2 000E4010 GdiIsMetaFileDC
       1496  1E3 0009D7B0 GdiIsMetaPrintDC
       1497  1E4 000B1D30 GdiIsPlayMetafileDC
       1498  1E5 000E5DF0 GdiIsScreenDC
       1499  1E6 000A3C60 GdiIsUMPDSandboxingEnabled
       1500  1E7 000DB9B0 GdiLoadType1Fonts
       1501  1E8 000821B0 GdiPlayDCScript
       1502  1E9 000E93A0 GdiPlayEMF
       1503  1EA 000E5E40 GdiPlayJournal
       1504  1EB 000E94F0 GdiPlayPageEMF
       1505  1EC 000E9880 GdiPlayPrivatePageEMF
       1506  1ED 000E8280 GdiPlayScript
       1507  1EE 000ECA80 GdiPrinterThunk
       1508  1EF 000826D0 GdiProcessSetup
       1509  1F0 000B99C0 GdiQueryFonts
       1510  1F1 000E4070 GdiQueryTable
       1511  1F2 0008C0B0 GdiRealizationInfo
       1512  1F3 000814B0 GdiReleaseDC
       1513  1F4 000E40B0 GdiReleaseLocalDC
       1514  1F5 000E98C0 GdiResetDCEMF
       1515  1F6 000E40B0 GdiSetAttrs
       1516  1F7 000B4C20 GdiSetBatchLimit
       1517  1F8 000E5E50 GdiSetLastError
       1518  1F9 000E7BB0 GdiSetPixelFormat
       1519  1FA 000E40C0 GdiSetServerAttr
       1520  1FB 000E9950 GdiStartDocEMF
       1521  1FC 000E99F0 GdiStartPageEMF
       1522  1FD 000DBA90 GdiSupportsFontChangeEvent
       1523  1FE 000E7BC0 GdiSwapBuffers
       1524  1FF 000B3320 GdiTransparentBlt
       1525  200 000834A0 GdiValidateHandle
       1526  201 000A9E30 GetArcDirection
       1527  202 000D7D50 GetAspectRatioFilterEx
       1528  203 000D77C0 GetBitmapAttributes
       1529  204 000B5730 GetBitmapBits
       1530  205 000E5E70 GetBitmapDimensionEx
       1531  206 000A7D50 GetBkColor
       1532  207 0009D700 GetBkMode
       1533  208 000B38F0 GetBoundsRect
